"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"35412",16456,"2 Lismore Forest~WHANGANUI",67157.5,12550000,13870000,"25_26","1295017300",3592.5535,"Forestry","Whanganui Rural"
"35413",16471,"Whanganui River Rd~WHANGANUI",263.69,107000,110000,"25_26","1292029100",19.9054,"Pastoral","Whanganui Rural"
"35414",16473,"895 Whanganui River Rd~WHANGANUI",1616.95,140000,360000,"25_26","1292024901",0.6278,"Residential","Whanganui Rural"
"35415",16474,"2810 Whanganui River Rd~WHANGANUI",857.33,344000,362000,"25_26","1292020700",107.6909,"Pastoral","Whanganui Rural"
"35416",16477,"4038 Whanganui River Rd~WHANGANUI",2657.25,695000,843000,"25_26","1292012300",177.8644,"Pastoral","Whanganui Rural"
"35417",16479,"251 Morikau Rd~WHANGANUI",1299.32,164000,254000,"25_26","1292008100",46.3643,"Pastoral","Whanganui Rural"
"35418",16481,"193 Morikau Rd~WHANGANUI",1271.63,84000,305000,"25_26","1292008101",1.2834,"Lifestyle","Whanganui Rural"
"35419",16483,"Makirikiri Valley Rd~WHANGANUI",6225.59,2170000,2301000,"25_26","1301007200",140.181,"Pastoral","Whanganui Rural"
"35420",16485,"8 Eaton Cres~WHANGANUI",4700.04,345000,670000,"25_26","1318515700",0.0989,"Residential","St Johns/Otamatea"
"35421",16486,"28 Virginia Hts~WHANGANUI",4576.45,320000,580000,"25_26","1318511500",0.0883,"Residential","St Johns/Otamatea"
"35422",16487,"196 Great North Rd~WHANGANUI",4399,320000,530000,"25_26","1318507300",0.1007,"Residential","St Johns/Otamatea"
"35423",16488,"197 Great North Rd~WHANGANUI",5295.56,460000,640000,"25_26","1318503100",0.1508,"Residential","St Johns/Otamatea"
"35424",16489,"101 Pauls Rd~WHANGANUI",3984.41,480000,1180000,"25_26","1299010600",3.8007,"Lifestyle","Whanganui Rural"
"35425",16491,"52 Pauls Rd~WHANGANUI",3684.61,530000,1200000,"25_26","1299010602",4.3656,"Lifestyle","Whanganui Rural"
"35426",16493,"5B Benefield St~WHANGANUI",1436.19,470000,480000,"25_26","1299010603",5.7638,"Lifestyle","Whanganui Rural"
"35427",16495,"156 - 158 Mosston Rd~WHANGANUI",3198.64,310000,690000,"25_26","1288069500",0.5059,"Residential","Whanganui Rural"
"35428",16497,"62 Wikitoria Rd~WHANGANUI",2643.32,190000,540000,"25_26","1308009701",0.1463,"Residential","Bastia/Durie Hills Putiki"
"35429",16498,"21 Wikitoria Rd~WHANGANUI",409.85,379000,383500,"25_26","1308005500",1.1854,"Lifestyle","Bastia/Durie Hills Putiki"
"35430",16499,"203 - 205 Mosston Rd~WHANGANUI",3370.55,420000,485000,"25_26","1288065300",1.833,"Specialist","Whanganui Rural"
"35431",16500,"83 Putiki Dr~WHANGANUI",5758.49,2e+05,650000,"25_26","1308001300",0.0761,"Residential","Bastia/Durie Hills Putiki"
"35432",16501,"64 Wikitoria Rd~WHANGANUI",2598.94,190000,460000,"25_26","1308009702",0.0827,"Residential","Bastia/Durie Hills Putiki"
"35433",16509,"247 Tayforth Rd~WHANGANUI",2417.65,260000,510000,"25_26","1288044300",0.1012,"Residential","Whanganui Rural"
"35434",16511,"38 Papaiti Rd~WHANGANUI",2828.39,415000,880000,"25_26","1288040100",2.0234,"Lifestyle","Whanganui Rural"
"35435",16517,"543 Brunswick Rd~WHANGANUI",3527.51,590000,1110000,"25_26","1288035903",9.1115,"Lifestyle","Whanganui Rural"
"35436",16518,"1154 Rapanui Rd~WHANGANUI",2887.3,580000,870000,"25_26","1288023300",6,"Lifestyle","Whanganui Rural"
"35437",16519,"15 Campbell Rd~WHANGANUI",346.92,320000,1630000,"25_26","1288019100",1.17,"Other","Whanganui Rural"
"35438",16520,"419 Brunswick Rd~WHANGANUI",3274.99,640000,1110000,"25_26","1288035904",7.1377,"Lifestyle","Whanganui Rural"
"35439",16522,"23 Mowhanau Dr~WHANGANUI",3646.02,315000,580000,"25_26","1288010700",0.0496,"Residential","Whanganui Rural"
"35440",16523,"1130 Brunswick Rd~WHANGANUI",12764.83,4500000,5090000,"25_26","1288006500",374.9965,"Pastoral","Whanganui Rural"
"35441",16524,"40 Tokomaru West Rd~WHANGANUI",2939.6,4e+05,7e+05,"25_26","1288006501",4.7993,"Lifestyle","Whanganui Rural"
"35442",16526,"857 Tokomaru West Rd~WHANGANUI",2269.4,450000,780000,"25_26","1288002301",20.223,"Pastoral","Whanganui Rural"
"35443",16532,"63 Hewitts Rd~WHANGANUI",3071.52,691200,1209600,"25_26","1307004700",26.8543,"Pastoral","Whanganui Rural"
"35444",16533,"Airport Rd~WHANGANUI",2447.65,215000,375000,"25_26","1307008901",0.2137,"Industrial","Whanganui Rural"
"35445",16534,"71 Marybank Rd~WHANGANUI",3340.86,260000,610000,"25_26","1307000500",0.1543,"Residential","Whanganui Rural"
"35446",16535,"Airport Rd~WHANGANUI",3338.62,240000,285000,"25_26","1307008902",0.3199,"Industrial","Whanganui Rural"
"35447",16538,"Airport Rd~WHANGANUI",1534.96,130000,180000,"25_26","1307008905",0.1123,"Industrial","Whanganui Rural"
"35448",16539,"Rangitatau East Rd~WHANGANUI",947.28,35000,36500,"25_26","1282035100",3.8698,"Pastoral","Whanganui Rural"
"35449",16540,"Bushy Park Rd~WHANGANUI",2021.27,402000,406500,"25_26","1282030900",6.2726,"Lifestyle","Whanganui Rural"
"35450",16541,"341A Maxwell Station Rd~WHANGANUI",16434.31,4570000,5390000,"25_26","1282026700",182.7855,"Pastoral","Whanganui Rural"
"35451",16544,"16 Old Parapara Rd~WHANGANUI",2080.93,235000,360000,"25_26","1295017400",0.7617,"Industrial","Whanganui Rural"
"35452",16548,"Fields Trk~WHANGANUI",452.99,182000,191000,"25_26","1295004800",18.6205,"Pastoral","Whanganui Rural"
"35453",16550,"31 Budge St~WHANGANUI",2829.04,250000,4e+05,"25_26","1304012300",0.1998,"Residential","Whanganui Rural"
"35454",16552,"557 No 2 Line~WHANGANUI",2775.46,350000,7e+05,"25_26","1304003900",0.9825,"Residential","Whanganui Rural"
"35455",16553,"567 No 2 Line~WHANGANUI",2584.42,230000,470000,"25_26","1304003901",0.0785,"Residential","Whanganui Rural"
"35456",16560,"2950 Whanganui River Rd~WHANGANUI",16872.53,5980000,6620000,"25_26","1292020800",850.0186,"Pastoral","Whanganui Rural"
"35457",16564,"125 Morikau Rd~WHANGANUI",1938,412000,533000,"25_26","1292008200",68.5591,"Pastoral","Whanganui Rural"
"35458",16568,"713 Longacre Rd~WHANGANUI",1920.56,410000,520000,"25_26","1301007301",14.231,"Lifestyle","Whanganui Rural"
"35459",16569,"199 Great North Rd~WHANGANUI",4562.49,330000,530000,"25_26","1318515800",0.1093,"Residential","St Johns/Otamatea"
"35460",16570,"1 Tirimoana Pl~WHANGANUI",4680.61,350000,630000,"25_26","1318515801",0.0921,"Residential","St Johns/Otamatea"
