"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"1",13,"2 Tregenna St~WHANGANUI",3891.3,205000,405000,"26_27","1309001200",0.0507,"Residential","Castlecliff"
"2",14,"4 Tregenna St~WHANGANUI",3908.87,215000,435000,"26_27","1309001300",0.0539,"Residential","Castlecliff"
"3",15,"6 Tregenna St~WHANGANUI",3456.25,180000,235000,"26_27","1309001400",0.0539,"Residential","Castlecliff"
"4",16,"8 Tregenna St~WHANGANUI",3898.36,215000,365000,"26_27","1309001500",0.0539,"Residential","Castlecliff"
"5",30,"15 Morgan St~WHANGANUI",3663.94,175000,375000,"26_27","1309002900",0.0637,"Residential","Castlecliff"
"6",31,"13 Ashton Tce~WHANGANUI",2410.54,170000,170000,"26_27","1309003000",0.0506,"Residential","Castlecliff"
"7",32,"15 Ashton Tce~WHANGANUI",3798.62,210000,315000,"26_27","1309003100",0.0711,"Residential","Castlecliff"
"8",33,"17 Ashton Tce~WHANGANUI",3867.34,210000,365000,"26_27","1309003200",0.0711,"Residential","Castlecliff"
"9",48,"18 Ashton Tce~WHANGANUI",4239.58,270000,365000,"26_27","1309004400",0.1008,"Residential","Castlecliff"
"10",49,"20 Ashton Tce~WHANGANUI",4253.32,270000,375000,"26_27","1309004500",0.1008,"Residential","Castlecliff"
"11",50,"22 Ashton Tce~WHANGANUI",4358.09,295000,395000,"26_27","1309004600",0.1006,"Residential","Castlecliff"
"12",64,"23 Egmont St~WHANGANUI",3639.99,180000,335000,"26_27","1309005500",0.055,"Residential","Castlecliff"
"13",80,"10 Egmont St~WHANGANUI",3907.73,230000,355000,"26_27","1309006500",0.0931,"Residential","Castlecliff"
"14",81,"12 Egmont St~WHANGANUI",4137.79,250000,445000,"26_27","1309006600",0.1062,"Residential","Castlecliff"
"15",82,"14 Egmont St~WHANGANUI",3915.21,235000,335000,"26_27","1309006700",0.0966,"Residential","Castlecliff"
"16",83,"16 Egmont St~WHANGANUI",4269.79,295000,320000,"26_27","1309006800",0.1082,"Residential","Castlecliff"
"17",97,"11 Cornfoot St~WHANGANUI",4154.31,265000,380000,"26_27","1309008200",0.1001,"Residential","Castlecliff"
"18",98,"15 Cornfoot St~WHANGANUI",4366.81,275000,435000,"26_27","1309008300",0.1052,"Residential","Castlecliff"
"19",99,"17 Cornfoot St~WHANGANUI",4214.77,270000,405000,"26_27","1309008400",0.1018,"Residential","Castlecliff"
"20",100,"19 Cornfoot St~WHANGANUI",4599.46,295000,6e+05,"26_27","1309008500",0.0999,"Residential","Castlecliff"
"21",113,"2 Cornfoot St~WHANGANUI",5046.65,350000,690000,"26_27","1309009500",0.1426,"Residential","Castlecliff"
"22",114,"6 Cornfoot St~WHANGANUI",4173.56,270000,370000,"26_27","1309009501",0.1024,"Residential","Castlecliff"
"23",115,"8 Cornfoot St~WHANGANUI",4226.54,270000,415000,"26_27","1309009600",0.1022,"Residential","Castlecliff"
"24",116,"10 Cornfoot St~WHANGANUI",3325.83,140000,335000,"26_27","1309009700A",0,"Residential","Castlecliff"
"25",130,"40 Cornfoot St~WHANGANUI",4171.97,265000,395000,"26_27","1309011000",0.1001,"Residential","Castlecliff"
"26",131,"40B Cornfoot St~WHANGANUI",2297.72,290000,465000,"26_27","1309011100",0.1016,"Other","Castlecliff"
"27",132,"5 Hood St~WHANGANUI",3798.05,180000,450000,"26_27","1309011200",0.0559,"Dairy","Castlecliff"
"28",133,"9 Hood St~WHANGANUI",4062.38,235000,460000,"26_27","1309011300",0.0845,"Residential","Castlecliff"
"29",147,"31 Hood St~WHANGANUI",4303.07,270000,480000,"26_27","1309012400",0.1011,"Residential","Castlecliff"
"30",148,"33 Hood St~WHANGANUI",4294.56,270000,405000,"26_27","1309012500",0.1012,"Residential","Castlecliff"
"31",149,"35 Hood St~WHANGANUI",4255.98,270000,440000,"26_27","1309012600",0.1012,"Residential","Castlecliff"
"32",150,"37 Hood St~WHANGANUI",4238.32,270000,425000,"26_27","1309012700",0.1012,"Residential","Castlecliff"
"33",163,"14 Hood St~WHANGANUI",3911.91,205000,420000,"26_27","1309013208",0.0669,"Residential","Castlecliff"
"34",164,"16 Hood St~WHANGANUI",3856.75,195000,425000,"26_27","1309013209",0.0635,"Residential","Castlecliff"
"35",165,"18 Hood St~WHANGANUI",3788.02,195000,375000,"26_27","1309013210",0.0635,"Residential","Castlecliff"
"36",166,"20 Hood St~WHANGANUI",3822.38,195000,4e+05,"26_27","1309013211",0.0635,"Residential","Castlecliff"
"37",167,"22 Hood St~WHANGANUI",3932.33,195000,480000,"26_27","1309013212",0.0635,"Residential","Castlecliff"
"38",180,"11 Laird St~WHANGANUI",4177.86,265000,4e+05,"26_27","1309014400",0.098,"Residential","Castlecliff"
"39",181,"13 Laird St~WHANGANUI",4222.24,275000,385000,"26_27","1309014500",0.1034,"Residential","Castlecliff"
"40",182,"15 Laird St~WHANGANUI",4304.77,265000,435000,"26_27","1309014600",0.0984,"Residential","Castlecliff"
"41",183,"17 Laird St~WHANGANUI",4267.76,270000,450000,"26_27","1309014700",0.1004,"Residential","Castlecliff"
"42",197,"18 Laird St~WHANGANUI",4177.86,265000,4e+05,"26_27","1309015600",0.0996,"Residential","Castlecliff"
"43",198,"20 Laird St~WHANGANUI",4201.41,265000,420000,"26_27","1309015700",0.0999,"Residential","Castlecliff"
"44",199,"22 Laird St~WHANGANUI",4325.39,265000,450000,"26_27","1309015800",0.0994,"Residential","Castlecliff"
"45",200,"28 Laird St~WHANGANUI",4291.3,270000,470000,"26_27","1309015900",0.1006,"Residential","Castlecliff"
"46",214,"55 Thatcher St~WHANGANUI",4097.03,270000,305000,"26_27","1309016800",0.1017,"Residential","Castlecliff"
"47",215,"57 Thatcher St~WHANGANUI",4256.66,265000,4e+05,"26_27","1309016900",0.0994,"Residential","Castlecliff"
"48",216,"59 Thatcher St~WHANGANUI",4496.66,305000,460000,"26_27","1309017000",0.106,"Residential","Castlecliff"
"49",230,"5 Polson St~WHANGANUI",6283,245000,510000,"26_27","1309018400",0.1064,"Commercial","Castlecliff"
"50",231,"7 Polson St~WHANGANUI",4112.66,245000,450000,"26_27","1309018500",0.1057,"Residential","Castlecliff"
"51",232,"11 Polson St~WHANGANUI",3037.95,255000,255000,"26_27","1309018600",0.1052,"Commercial","Castlecliff"
"52",233,"15 Polson St~WHANGANUI",4346.32,295000,385000,"26_27","1309018700",0.1016,"Residential","Castlecliff"
"53",247,"43 Polson St~WHANGANUI",4224.96,265000,440000,"26_27","1309020000",0.0998,"Residential","Castlecliff"
"54",248,"45 Polson St~WHANGANUI",4238.32,270000,425000,"26_27","1309020100",0.1015,"Residential","Castlecliff"
"55",249,"47 Polson St~WHANGANUI",4308.3,270000,415000,"26_27","1309020200",0.1011,"Residential","Castlecliff"
"56",250,"49 Polson St~WHANGANUI",4297.9,265000,430000,"26_27","1309020300",0.0999,"Residential","Castlecliff"
"57",264,"4 Morgan St~WHANGANUI",3663.94,175000,375000,"26_27","1309021500",0.0573,"Residential","Castlecliff"
"58",265,"24 Tregenna St~WHANGANUI",3839.86,210000,345000,"26_27","1309021600",0.0695,"Residential","Castlecliff"
"59",283,"49 Bryce St~WHANGANUI",99216.24,2490000,5530000,"26_27","1309023100",1.5583,"Industrial","Castlecliff"
"60",314,"5 Carson St~WHANGANUI",4344.08,270000,560000,"26_27","1309025700",0.1008,"Residential","Castlecliff"
"61",315,"17 Carson St~WHANGANUI",4338.4,270000,510000,"26_27","1309025800",0.1006,"Residential","Castlecliff"
"62",316,"9 Carson St~WHANGANUI",3732.94,180000,470000,"26_27","1309025801",0.0607,"Residential","Castlecliff"
"63",317,"3 Carson St~WHANGANUI",4320.73,270000,495000,"26_27","1309025900",0.1006,"Residential","Castlecliff"
"64",331,"214A Puriri St~WHANGANUI",3316.23,140000,280000,"26_27","1309027200B",0,"Residential","Castlecliff"
"65",333,"17 Mosston Rd~WHANGANUI",4691.84,345000,415000,"26_27","1309027300",0.1421,"Residential","Castlecliff"
"66",334,"19 Mosston Rd~WHANGANUI",4851.25,365000,445000,"26_27","1309027400",0.1523,"Residential","Castlecliff"
"67",347,"19 Karyn St~WHANGANUI",3681.41,190000,320000,"26_27","1309028205",0.0611,"Residential","Castlecliff"
"68",348,"29 Karyn St~WHANGANUI",3757,190000,375000,"26_27","1309028207",0.06,"Residential","Castlecliff"
"69",349,"31 Karyn St~WHANGANUI",3932.72,215000,390000,"26_27","1309028208",0.0725,"Residential","Castlecliff"
"70",350,"33 Karyn St~WHANGANUI",3725.98,185000,375000,"26_27","1309028209",0.0581,"Residential","Castlecliff"
"71",364,"22 Karyn St~WHANGANUI",3819.04,2e+05,375000,"26_27","1309028310",0.0662,"Residential","Castlecliff"
"72",365,"24 Karyn St~WHANGANUI",3905.04,205000,415000,"26_27","1309028311",0.087,"Residential","Castlecliff"
"73",366,"26 Karyn St~WHANGANUI",3949.81,210000,425000,"26_27","1309028312",0.0878,"Residential","Castlecliff"
"74",367,"28 Karyn St~WHANGANUI",3853.4,2e+05,4e+05,"26_27","1309028313",0.0648,"Residential","Castlecliff"
"75",381,"45 Mosston Rd~WHANGANUI",3999.21,240000,380000,"26_27","1309028600",0.087,"Residential","Castlecliff"
"76",382,"47 Mosston Rd~WHANGANUI",4356.6,280000,405000,"26_27","1309028700",0.1004,"Residential","Castlecliff"
"77",383,"51 Mosston Rd~WHANGANUI",4247.37,280000,380000,"26_27","1309028800",0.0938,"Residential","Castlecliff"
"78",384,"53 Mosston Rd~WHANGANUI",4229.71,280000,365000,"26_27","1309028900",0.1074,"Residential","Castlecliff"
"79",397,"48 Mosston Rd~WHANGANUI",3875.13,220000,380000,"26_27","1309030200",0.0765,"Residential","Castlecliff"
"80",398,"50 Mosston Rd~WHANGANUI",3894.83,210000,385000,"26_27","1309030300",0.0713,"Residential","Castlecliff"
"81",399,"50A Mosston Rd~WHANGANUI",3839.35,2e+05,455000,"26_27","1309030400",0.064,"Residential","Castlecliff"
"82",400,"52 Mosston Rd~WHANGANUI",4225.64,260000,4e+05,"26_27","1309030500",0.0955,"Residential","Castlecliff"
"83",401,"54 Mosston Rd~WHANGANUI",3944.19,215000,465000,"26_27","1309030600",0.0739,"Residential","Castlecliff"
"84",414,"29 Miro St~WHANGANUI",3869.24,220000,375000,"26_27","1309031200",0.0824,"Residential","Castlecliff"
"85",415,"17 Ruapehu St~WHANGANUI",3722.84,2e+05,305000,"26_27","1309031201",0.0663,"Residential","Castlecliff"
"86",416,"31 Miro St~WHANGANUI",3866.08,210000,425000,"26_27","1309031300",0.0773,"Residential","Castlecliff"
"87",417,"39 Miro St~WHANGANUI",3601.9,165000,375000,"26_27","1309031400",0.0506,"Residential","Castlecliff"
"88",431,"22 Miro St~WHANGANUI",5929.31,310000,530000,"26_27","1309032400",0.1153,"Residential","Castlecliff"
"89",432,"24 Miro St~WHANGANUI",3619.5,175000,4e+05,"26_27","1309032500",0.0579,"Residential","Castlecliff"
"90",433,"26 Miro St~WHANGANUI",3531.2,175000,325000,"26_27","1309032600",0.0579,"Residential","Castlecliff"
"91",434,"28A Miro St~WHANGANUI",5674.96,160000,405000,"26_27","1309032601",0.0619,"Residential","Castlecliff"
"92",448,"13 Raupo St~WHANGANUI",3488.22,150000,360000,"26_27","1309034000",0.0579,"Residential","Castlecliff"
"93",449,"17 Raupo St~WHANGANUI",6019.52,210000,430000,"26_27","1309034100",0.0864,"Residential","Castlecliff"
"94",450,"21 Raupo St~WHANGANUI",3822.38,195000,4e+05,"26_27","1309034200",0.0868,"Residential","Castlecliff"
"95",451,"23 Raupo St~WHANGANUI",3181.82,150000,160000,"26_27","1309034300",0.0579,"Residential","Castlecliff"
"96",481,"483 Heads Rd~WHANGANUI",4282.7,280000,410000,"26_27","1309036900",0.0986,"Residential","Castlecliff"
"97",484,"505 Heads Rd~WHANGANUI",6242.36,3e+05,730000,"26_27","1309037200",0.1201,"Industrial","Castlecliff"
"98",498,"468 Heads Rd~WHANGANUI",4267.76,270000,450000,"26_27","1309038600",0.1257,"Residential","Castlecliff"
"99",499,"470 Heads Rd~WHANGANUI",3943.06,230000,385000,"26_27","1309038700",0.1012,"Residential","Castlecliff"
"100",500,"472 Heads Rd~WHANGANUI",3931.28,230000,375000,"26_27","1309038800",0.1012,"Residential","Castlecliff"
"101",514,"496 Heads Rd~WHANGANUI",5379.15,305000,375000,"26_27","1309039900",0.12,"Industrial","Castlecliff"
"102",516,"500 Heads Rd~WHANGANUI",8249.58,510000,690000,"26_27","1309040100",0.239,"Industrial","Castlecliff"
"103",517,"100 Hinau St~WHANGANUI",3406.15,170000,210000,"26_27","1309040200",0.0499,"Residential","Castlecliff"
"104",518,"114 Hinau St~WHANGANUI",3495.1,150000,365000,"26_27","1309040201",0.0658,"Residential","Castlecliff"
"105",531,"90A Hinau St~WHANGANUI",3322.53,110000,420000,"26_27","1309040700B",0,"Residential","Castlecliff"
"106",532,"88 Hinau St~WHANGANUI",3774.6,2e+05,4e+05,"26_27","1309040800",0.1012,"Residential","Castlecliff"
"107",534,"84 Hinau St~WHANGANUI",3880.89,2e+05,420000,"26_27","1309040901",0.101,"Residential","Castlecliff"
"108",548,"56 Hinau St~WHANGANUI",3491.57,145000,385000,"26_27","1309040914",0.0609,"Residential","Castlecliff"
"109",549,"54 Hinau St~WHANGANUI",3450.33,145000,355000,"26_27","1309040915",0.0609,"Residential","Castlecliff"
"110",550,"52 Hinau St~WHANGANUI",3464.08,145000,365000,"26_27","1309040916",0.061,"Residential","Castlecliff"
"111",565,"51 Hinau St~WHANGANUI",3477.82,145000,375000,"26_27","1309041513",0.0625,"Residential","Castlecliff"
"112",568,"5 Tongariro St~WHANGANUI",4039.52,230000,4e+05,"26_27","1309041800",0.1012,"Residential","Castlecliff"
"113",581,"31 Tongariro St~WHANGANUI",3550.08,150000,405000,"26_27","1309042604",0.054,"Residential","Castlecliff"
"114",582,"33 Tongariro St~WHANGANUI",3708.52,170000,430000,"26_27","1309042605",0.0805,"Residential","Castlecliff"
"115",583,"35 Tongariro St~WHANGANUI",3667.28,170000,4e+05,"26_27","1309042606",0.0805,"Residential","Castlecliff"
"116",584,"37 Tongariro St~WHANGANUI",3481.35,150000,355000,"26_27","1309042607",0.054,"Residential","Castlecliff"
"117",598,"22 Tongariro St~WHANGANUI",3663.94,175000,375000,"26_27","1309043501",0.0677,"Residential","Castlecliff"
"118",599,"24 Tongariro St~WHANGANUI",3725.79,175000,420000,"26_27","1309043502",0.0668,"Residential","Castlecliff"
"119",600,"76 Hinau St~WHANGANUI",3636.26,165000,4e+05,"26_27","1309043503",0.1011,"Residential","Castlecliff"
"120",615,"183 Puriri St~WHANGANUI",3802.91,215000,345000,"26_27","1309043900",0.0736,"Residential","Castlecliff"
"121",616,"185 Puriri St~WHANGANUI",3925.85,215000,385000,"26_27","1309044000",0.0736,"Residential","Castlecliff"
"122",617,"187 Puriri St~WHANGANUI",3767.58,215000,315000,"26_27","1309044100",0.0736,"Residential","Castlecliff"
"123",618,"189 Puriri St~WHANGANUI",3891.48,215000,360000,"26_27","1309044200",0.0736,"Residential","Castlecliff"
"124",631,"217 Puriri St~WHANGANUI",4349.54,270000,445000,"26_27","1309045500",0.1012,"Residential","Castlecliff"
"125",632,"219 Puriri St~WHANGANUI",4161.78,270000,360000,"26_27","1309045600",0.1012,"Residential","Castlecliff"
"126",633,"221A Puriri St~WHANGANUI",3174.69,105000,335000,"26_27","1309045700A",0,"Residential","Castlecliff"
"127",634,"221B Puriri St~WHANGANUI",3061.01,90000,320000,"26_27","1309045700B",0,"Residential","Castlecliff"
"128",635,"221C Puriri St~WHANGANUI",3092.03,95000,320000,"26_27","1309045700C",0,"Residential","Castlecliff"
"129",648,"190 Puriri St~WHANGANUI",3884.61,215000,355000,"26_27","1309046400",0.0736,"Residential","Castlecliff"
"130",649,"192 Puriri St~WHANGANUI",3808.8,215000,350000,"26_27","1309046500",0.0736,"Residential","Castlecliff"
"131",650,"196 Puriri St~WHANGANUI",3557.33,170000,320000,"26_27","1309046600",0.0505,"Residential","Castlecliff"
"132",651,"198 Puriri St~WHANGANUI",4349.54,270000,445000,"26_27","1309046700",0.1012,"Residential","Castlecliff"
"133",665,"11 Ruapehu St~WHANGANUI",4129.05,240000,420000,"26_27","1309047900",0.0857,"Residential","Castlecliff"
"134",666,"11A Ruapehu St~WHANGANUI",4248.95,285000,355000,"26_27","1309048000",0.1093,"Residential","Castlecliff"
"135",667,"15 Ruapehu St~WHANGANUI",4332.96,290000,4e+05,"26_27","1309048100",0.1118,"Residential","Castlecliff"
"136",668,"27 Miro St~WHANGANUI",3544.1,160000,415000,"26_27","1309048200",0.0483,"Residential","Castlecliff"
"137",682,"44 Ruapehu St~WHANGANUI",3727.5,2e+05,360000,"26_27","1309049400",0.0759,"Residential","Castlecliff"
"138",683,"42 Ruapehu St~WHANGANUI",3771.89,210000,345000,"26_27","1309049500",0.0824,"Residential","Castlecliff"
"139",684,"2 Ruapehu St~WHANGANUI",4114.69,270000,320000,"26_27","1309049600",0.1012,"Residential","Castlecliff"
"140",685,"4 Ruapehu St~WHANGANUI",4287.68,270000,4e+05,"26_27","1309049700",0.1012,"Residential","Castlecliff"
"141",698,"30 Ruapehu St~WHANGANUI",3929.7,225000,4e+05,"26_27","1309050800",0.0736,"Residential","Castlecliff"
"142",699,"32 Ruapehu St~WHANGANUI",3817.85,225000,305000,"26_27","1309050900",0.0736,"Residential","Castlecliff"
"143",700,"34 Ruapehu St~WHANGANUI",3946.65,225000,355000,"26_27","1309051000",0.0736,"Residential","Castlecliff"
"144",701,"36 Ruapehu St~WHANGANUI",3859.06,225000,340000,"26_27","1309051100",0.0735,"Residential","Castlecliff"
"145",715,"19 Kowhai St~WHANGANUI",3507.65,175000,305000,"26_27","1309052100",0.0735,"Residential","Castlecliff"
"146",716,"19A Kowhai St~WHANGANUI",3548.86,175000,340000,"26_27","1309052101",0.0736,"Residential","Castlecliff"
"147",717,"21 Kowhai St~WHANGANUI",3578.29,175000,365000,"26_27","1309052102",0.0736,"Residential","Castlecliff"
"148",718,"21A Kowhai St~WHANGANUI",3472.32,175000,275000,"26_27","1309052200",0.0736,"Residential","Castlecliff"
"149",734,"22 Kowhai St~WHANGANUI",3498.64,155000,345000,"26_27","1309053500",0.0736,"Residential","Castlecliff"
"150",735,"24 Kowhai St~WHANGANUI",3442.43,155000,355000,"26_27","1309053600",0.0736,"Residential","Castlecliff"
"151",748,"23A Titoki St~WHANGANUI",3274.62,120000,340000,"26_27","1309054601B",0,"Residential","Castlecliff"
"152",749,"25 Titoki St~WHANGANUI",3710.3,220000,240000,"26_27","1309054700",0.1199,"Residential","Castlecliff"
"153",750,"27 Titoki St~WHANGANUI",3946.65,225000,355000,"26_27","1309054800",0.125,"Residential","Castlecliff"
"154",751,"29 Titoki St~WHANGANUI",3805.49,210000,320000,"26_27","1309054900",0.1131,"Residential","Castlecliff"
"155",752,"31 Titoki St~WHANGANUI",3331.72,140000,340000,"26_27","1309055000",0.0683,"Residential","Castlecliff"
"156",765,"36 Titoki St~WHANGANUI",3619.37,180000,320000,"26_27","1309056400",0.0766,"Residential","Castlecliff"
"157",766,"38 Titoki St~WHANGANUI",3644.63,180000,395000,"26_27","1309056500",0.0766,"Residential","Castlecliff"
"158",767,"40 Titoki St~WHANGANUI",3674.34,180000,360000,"26_27","1309056600",0.0766,"Residential","Castlecliff"
"159",768,"42 Titoki St~WHANGANUI",3639.99,180000,335000,"26_27","1309056700",0.0766,"Residential","Castlecliff"
"160",782,"23 Cross St~WHANGANUI",3925.85,215000,385000,"26_27","1309057405",0.0736,"Residential","Castlecliff"
"161",783,"25 Cross St~WHANGANUI",3689.01,190000,380000,"26_27","1309057406",0.0613,"Residential","Castlecliff"
"162",784,"27 Cross St~WHANGANUI",3788.02,195000,375000,"26_27","1309057407",0.0635,"Residential","Castlecliff"
"163",785,"29 Cross St~WHANGANUI",3820.56,215000,360000,"26_27","1309057408",0.0988,"Residential","Castlecliff"
"164",800,"2 Polson St~WHANGANUI",3760.11,210000,335000,"26_27","1309058200",0.0712,"Residential","Castlecliff"
"165",801,"4 Polson St~WHANGANUI",3991.42,230000,365000,"26_27","1309058300",0.0809,"Residential","Castlecliff"
"166",802,"6 Polson St~WHANGANUI",3981.21,235000,335000,"26_27","1309058400",0.0824,"Residential","Castlecliff"
"167",816,"32 Polson St~WHANGANUI",4293.34,295000,340000,"26_27","1309059800",0.1012,"Residential","Castlecliff"
"168",817,"34 Polson St~WHANGANUI",4315.17,270000,420000,"26_27","1309059900",0.1012,"Residential","Castlecliff"
"169",818,"36 Polson St~WHANGANUI",4308.3,270000,415000,"26_27","1309060000",0.1012,"Residential","Castlecliff"
"170",832,"19 Lee St~WHANGANUI",3993.32,240000,375000,"26_27","1309061800",0.0857,"Residential","Castlecliff"
"171",833,"21 Lee St~WHANGANUI",4067.01,230000,420000,"26_27","1309061900",0.0813,"Residential","Castlecliff"
"172",834,"23 Lee St~WHANGANUI",3907.73,230000,355000,"26_27","1309062000",0.0813,"Residential","Castlecliff"
"173",835,"25 Lee St~WHANGANUI",3915.26,2e+05,445000,"26_27","1309062100",0.0652,"Residential","Castlecliff"
"174",849,"55 Lee St~WHANGANUI",4011.85,220000,425000,"26_27","1309062808",0.0756,"Residential","Castlecliff"
"175",850,"53 Lee St~WHANGANUI",3998.1,220000,415000,"26_27","1309062809",0.0754,"Residential","Castlecliff"
"176",852,"4 Lee St~WHANGANUI",4319.6,285000,415000,"26_27","1309063000",0.1099,"Residential","Castlecliff"
"177",865,"30 Lee St~WHANGANUI",3662.3,180000,410000,"26_27","1309064300",0.0556,"Residential","Castlecliff"
"178",866,"36 Lee St~WHANGANUI",3925.66,205000,430000,"26_27","1309064301",0.0675,"Residential","Castlecliff"
"179",867,"38 Lee St~WHANGANUI",3850.06,205000,375000,"26_27","1309064302",0.0675,"Residential","Castlecliff"
"180",868,"40 Lee St~WHANGANUI",4074.07,240000,380000,"26_27","1309064400",0.0863,"Residential","Castlecliff"
"181",869,"42 Lee St~WHANGANUI",3929.38,220000,365000,"26_27","1309064401",0.0754,"Residential","Castlecliff"
"182",882,"11 Glenn St~WHANGANUI",3863.36,220000,370000,"26_27","1309065000",0.0756,"Residential","Castlecliff"
"183",883,"15 Glenn St~WHANGANUI",3977.48,220000,4e+05,"26_27","1309065100",0.0756,"Residential","Castlecliff"
"184",884,"17 Glenn St~WHANGANUI",3892.79,220000,395000,"26_27","1309065200",0.0756,"Residential","Castlecliff"
"185",885,"4 Glenn St~WHANGANUI",3677.5,165000,430000,"26_27","1309065300",0.0485,"Residential","Castlecliff"
"186",899,"46 Raupo St~WHANGANUI",3520.55,160000,395000,"26_27","1309066400",0.0637,"Residential","Castlecliff"
"187",900,"48 Raupo St~WHANGANUI",3593.24,185000,325000,"26_27","1309066500",0.0806,"Residential","Castlecliff"
"188",901,"130 Puriri St~WHANGANUI",3471.15,155000,325000,"26_27","1309066600",0.0627,"Residential","Castlecliff"
"189",902,"132 Puriri St~WHANGANUI",3553.61,155000,385000,"26_27","1309066700",0.0627,"Residential","Castlecliff"
"190",916,"160 Puriri St~WHANGANUI",3514.67,160000,390000,"26_27","1309068100",0.0607,"Residential","Castlecliff"
"191",917,"162 Puriri St~WHANGANUI",3622.9,185000,3e+05,"26_27","1309068200",0.0748,"Residential","Castlecliff"
"192",918,"164 Puriri St~WHANGANUI",3671.35,190000,365000,"26_27","1309068300",0.076,"Residential","Castlecliff"
"193",919,"166 Puriri St~WHANGANUI",3615.84,175000,340000,"26_27","1309068400",0.0668,"Residential","Castlecliff"
"194",932,"151 Puriri St~WHANGANUI",3480.93,165000,335000,"26_27","1309069700",0.067,"Residential","Castlecliff"
"195",933,"153 Puriri St~WHANGANUI",3510.36,165000,360000,"26_27","1309069800",0.0673,"Residential","Castlecliff"
"196",934,"155 Puriri St~WHANGANUI",3479.34,160000,360000,"26_27","1309069900",0.0665,"Residential","Castlecliff"
"197",935,"157 Puriri St~WHANGANUI",3744.03,215000,295000,"26_27","1309070000",0.0819,"Residential","Castlecliff"
"198",949,"25 Matipo St~WHANGANUI",3374.74,145000,3e+05,"26_27","1309071400",0.0704,"Residential","Castlecliff"
"199",950,"27 Matipo St~WHANGANUI",3385.15,150000,285000,"26_27","1309071500",0.072,"Residential","Castlecliff"
"200",951,"29 Matipo St~WHANGANUI",3354.13,145000,285000,"26_27","1309071600",0.0695,"Residential","Castlecliff"
"201",952,"31 Matipo St~WHANGANUI",3354.13,145000,285000,"26_27","1309071700",0.0695,"Residential","Castlecliff"
"202",966,"69 Matipo St~WHANGANUI",3298.96,135000,290000,"26_27","1309073100",0.0622,"Residential","Castlecliff"
"203",968,"75 - 77 Matipo St~WHANGANUI",3884.42,205000,4e+05,"26_27","1309073300",0.1135,"Residential","Castlecliff"
"204",982,"42 Matipo St~WHANGANUI",3297.98,145000,285000,"26_27","1309074600",0.0685,"Residential","Castlecliff"
"205",986,"60 Matipo St~WHANGANUI",3292.09,135000,285000,"26_27","1309075000",0.0613,"Residential","Castlecliff"
"206",1001,"2 Hinau St~WHANGANUI",6543.99,415000,475000,"26_27","1309076401",0.2264,"Industrial","Castlecliff"
"207",1002,"6 Hinau St~WHANGANUI",9081.99,480000,1260000,"26_27","1309076402",0.2923,"Industrial","Castlecliff"
"208",1016,"37 Gilberd St~WHANGANUI",27275.78,1e+06,6420000,"26_27","1309076705",0.6956,"Industrial","Castlecliff"
"209",1017,"29 Gilberd St~WHANGANUI",14772.17,1060000,1610000,"26_27","1309076706",0.7356,"Industrial","Castlecliff"
"210",1018,"357 Heads Rd~WHANGANUI",16792.78,910000,2890000,"26_27","1309076800",0.4789,"Industrial","Castlecliff"
"211",1019,"355 Heads Rd~WHANGANUI",13872.59,7e+05,1680000,"26_27","1309076801",0.3125,"Industrial","Castlecliff"
"212",1033,"354 Heads Rd~WHANGANUI",7024.65,450000,550000,"26_27","1309077900",0.2,"Industrial","Castlecliff"
"213",1034,"356 Heads Rd~WHANGANUI",7891,450000,890000,"26_27","1309077901",0.2,"Industrial","Castlecliff"
"214",1035,"376 Heads Rd~WHANGANUI",8250.25,430000,950000,"26_27","1309077902",0.18,"Industrial","Castlecliff"
"215",1036,"350 Heads Rd~WHANGANUI",16128.61,1110000,1980000,"26_27","1309077903",0.6175,"Industrial","Castlecliff"
"216",1049,"392 Heads Rd~WHANGANUI",24416.92,1600000,3350000,"26_27","1309078200",0.9897,"Industrial","Castlecliff"
"217",1050,"1 Rogers St~WHANGANUI",13278.88,1120000,1121000,"26_27","1309078201",0.8095,"Industrial","Castlecliff"
"218",1051,"1A Rogers St~WHANGANUI",13905.62,1200000,1200000,"26_27","1309078202",1.0495,"Industrial","Castlecliff"
"219",1066,"436 Heads Rd~WHANGANUI",9405.62,630000,9e+05,"26_27","1309078900",0.3368,"Industrial","Castlecliff"
"220",1069,"1 Gilberd St~WHANGANUI",40855.15,2e+06,8060000,"26_27","1309079201",1.7632,"Industrial","Castlecliff"
"221",1083,"45 Kowhai St~WHANGANUI",3429.91,155000,295000,"26_27","1309080400",0.0624,"Residential","Castlecliff"
"222",1084,"47 Kowhai St~WHANGANUI",3849.55,195000,490000,"26_27","1309080500",0.104,"Residential","Castlecliff"
"223",1085,"49 Kowhai St~WHANGANUI",3522.97,170000,295000,"26_27","1309080600",0.0703,"Residential","Castlecliff"
"224",1086,"51 Kowhai St~WHANGANUI",3529.66,160000,345000,"26_27","1309080700",0.0664,"Residential","Castlecliff"
"225",1103,"77A Karaka St~WHANGANUI",2844.84,170000,4e+05,"26_27","1310001900",0.0506,"Residential","Castlecliff"
"226",1116,"97 Karaka St~WHANGANUI",5595.28,370000,9e+05,"26_27","1310003000",0.1968,"Residential","Castlecliff"
